DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,3-4,ROOM6,4-5,5-6
FRI,CSE-32,---,PS,---,STW,DS,---,IND4,---,AFL,DSD,---,X,---,X,X
FRI,CSE-34,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
FRI,CSE-36,---,X,---,PS,IND4,---,DSD,---,STW,AFL,---,X,---,X,X
FRI,CSE-38,---,DSD,---,DS,PS,---,AFL,---,IND4,STW,---,X,---,X,X
FRI,CSE-40,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
FRI,CSE-42,---,X,---,PS,STW,---,DSD,---,AFL,DS,---,X,---,X,X
FRI,CSE-44,---,AFL,---,PS,DS,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X
FRI,CSE-46,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
FRI,CSE-48,---,X,---,DSD,IND4,---,STW,---,PS,X,---,X,---,X,X
FRI,CSE-50,---,DSD,---,DSD(L),DSD(L),---,DS,---,PS,AFL,---,X,---,X,X
FRI,CSE-52,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
FRI,CSE-54,---,X,---,DS,PS,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X
SAT,CSE-2,---,X,---,X,DS,---,AFL,---,X,X,---,X,---,X,X
SAT,CSE-4,---,X,---,X,DS,---,AFL,---,X,X,---,X,---,X,X
SAT,CSE-5,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
SAT,CSE-8,---,X,---,X,X,---,AFL,---,X,X,---,X,---,X,X
SAT,CSE-10,---,X,---,X,X,---,AFL,---,DS,X,---,X,---,X,X
SAT,CSE-11,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
SAT,CSE-13,---,X,---,X,X,---,AFL,---,X,X,---,X,---,X,X
SAT,CSE-14,---,X,---,X,DS,---,AFL,---,X,X,---,X,---,X,X
SAT,CSE-15,---,X,---,X,X,---,DS,---,AFL,X,---,X,---,X,X
SAT,CSE-16,---,X,---,X,X,---,DS,---,DS(L),DS(L),---,X,---,X,X
SAT,CSE-17,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
SAT,CSE-20,---,X,---,X,DS,---,AFL,---,X,X,---,X,---,X,X
SAT,CSE-22,---,X,---,X,AFL,---,X,---,X,X,---,X,---,X,X
SAT,CSE-23,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
SAT,CSE-25,---,X,---,X,X,---,AFL,---,X,X,---,X,---,X,X
SAT,CSE-26,---,X,---,X,X,---,AFL,---,DS,X,---,X,---,X,X
SAT,CSE-28,---,X,---,DS,X,---,X,---,X,X,---,X,---,X,X
SAT,CSE-29,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
SAT,CSE-31,---,X,---,X,X,---,AFL,---,DS,X,---,X,---,X,X
SAT,CSE-32,---,X,---,X,X,---,DS,---,AFL,X,---,X,---,X,X
SAT,CSE-34,---,X,---,AFL,DS,---,X,---,X,X,---,X,---,X,X
SAT,CSE-35,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
SAT,CSE-38,---,X,---,X,DS,---,X,---,X,X,---,X,---,X,X
SAT,CSE-40,---,AFL,---,DS(L),DS(L),---,DS,---,X,X,---,X,---,X,X
SAT,CSE-41,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
SAT,CSE-44,---,AFL,---,DS(L),DS(L),---,DS,---,X,X,---,X,---,X,X
SAT,CSE-46,---,AFL,---,DS(L),DS(L),---,DS,---,X,X,---,X,---,X,X
SAT,CSE-47,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
SAT,CSE-50,---,X,---,X,AFL,---,DS,---,DS(L),DS(L),---,X,---,X,X
SAT,CSE-51,---,X,---,X,X,---,DS,---,AFL,X,---,X,---,X,X
SAT,CSE-52,---,X,---,X,X,---,AFL,---,DS(L),DS(L),---,X,---,X,X
SAT,CSE-53,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
SAT,CSE-54,---,AFL,---,DS(L),DS(L),---,X,---,X,X,---,X,---,X,X
SAT,CSE-55,---,X,---,X,X,---,AFL,---,DS,X,---,X,---,X,X
