DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,3-4,ROOM6,4-5,5-6
THU,CSE-15,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
THU,CSE-16,---,X,---,AFL,DS,---,X,---,X,X,---,DS,---,STW,PS
THU,CSE-17,---,X,---,X,X,---,DS,---,AFL,PS,---,DSD,---,STW,X
THU,CSE-18,---,AFL,---,STW,DSD,---,PS,---,DS,X,---,X,---,X,X
THU,CSE-19,---,X,---,X,X,---,STW,---,DSD,IND4,---,PS,---,DS,X
THU,CSE-20,---,AFL,---,DS,PS,---,DSD,---,IND4,STW,---,X,---,X,X
THU,CSE-21,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
THU,CSE-22,---,DS,---,PS,STW,---,X,---,X,X,---,IND4,---,DSD,AFL
THU,CSE-23,---,X,---,X,X,---,IND4,---,X,X,---,DS,---,DSD,PS
THU,CSE-24,---,X,---,AFL,IND4,---,DS,---,STW,PS,---,X,---,X,X
THU,CSE-25,---,X,---,X,X,---,IND4,---,DSD,STW,---,PS,---,DS,AFL
THU,CSE-26,---,AFL,---,STW,PS,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X
THU,CSE-27,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
THU,CSE-28,---,DS,---,DSD,PS,---,X,---,X,X,---,AFL,---,DS(L),DS(L)
THU,CSE-29,---,X,---,X,X,---,IND4,---,STW,DS,---,DSD,---,AFL,X
THU,CSE-30,---,DSD,---,DSD(L),DSD(L),---,PS,---,DS,X,---,X,---,X,X
THU,CSE-31,---,X,---,X,X,---,DSD,---,DSD(L),DSD(L),---,DS,---,AFL,PS
THU,CSE-32,---,AFL,---,DS(L),DS(L),---,PS,---,DS,X,---,X,---,X,X
THU,CSE-33,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
THU,CSE-34,---,X,---,DS,PS,---,X,---,X,X,---,AFL,---,DS(L),DS(L)
THU,CSE-35,---,X,---,X,X,---,STW,---,IND4,X,---,DS,---,AFL,PS
THU,CSE-36,---,DSD,---,DSD(L),DSD(L),---,PS,---,DS,X,---,X,---,X,X
THU,CSE-37,---,X,---,X,X,---,PS,---,DS,STW,---,DSD,---,DSD(L),DSD(L)
THU,CSE-38,---,DSD,---,DSD(L),DSD(L),---,AFL,---,PS,STW,---,X,---,X,X
THU,CSE-39,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
THU,CSE-40,---,DS,---,IND4,PS,---,X,---,X,X,---,DSD,---,DSD(L),DSD(L)
THU,CSE-41,---,X,---,X,X,---,DSD,---,DSD(L),DSD(L),---,AFL,---,DS,PS
THU,CSE-42,---,DSD,---,DS,IND4,---,PS,---,STW,AFL,---,X,---,X,X
THU,CSE-43,---,X,---,X,X,---,DSD,---,DSD(L),DSD(L),---,PS,---,STW,DS
THU,CSE-44,---,DSD,---,AFL,PS,---,DS,---,IND4,X,---,X,---,X,X
THU,CSE-45,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
THU,CSE-46,---,X,---,AFL,PS,---,X,---,X,X,---,DSD,---,DSD(L),DSD(L)
THU,CSE-47,---,X,---,X,X,---,AFL,---,DS,PS,---,DSD,---,DSD(L),DSD(L)
THU,CSE-48,---,X,---,DSD,DS,---,PS,---,AFL,X,---,X,---,X,X
THU,CSE-49,---,X,---,X,X,---,DSD,---,DSD(L),DSD(L),---,AFL,---,DS,PS
THU,CSE-50,---,X,---,X,DS,---,PS,---,X,X,---,X,---,X,X
THU,CSE-51,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
THU,CSE-52,---,X,---,DS,PS,---,X,---,X,X,---,DSD,---,DSD(L),DSD(L)
THU,CSE-53,---,X,---,X,X,---,IND4,---,AFL,X,---,DS,---,DSD,PS
THU,CSE-54,---,X,---,STW,IND4,---,DS,---,AFL,PS,---,X,---,X,X
THU,CSE-55,---,X,---,X,X,---,IND4,---,DSD,X,---,PS,---,STW,DS
THU,IT-1,---,X,---,X,X,---,CE,---,CE(L),CE(L),---,COA,---,STW,PS
THU,IT-2,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
THU,IT-3,---,CE,---,CE(L),CE(L),---,X,---,X,X,---,PS,---,DS,COA
THU,IT-4,---,DS,---,CE,PS,---,OOPJ,---,COA,X,---,X,---,X,X
THU,IT-5,---,X,---,X,X,---,DS,---,PS,OOPJ,---,STW,---,COA,X
THU,CSCE-1,---,X,---,X,X,---,DSD,---,STW,PS,---,DS,---,DS(L),DS(L)
THU,CSCE-2,---,DSD,---,DSD(L),DSD(L),---,CE,---,STW,PS,---,X,---,X,X
THU,CSCE-3,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
THU,CSSE-1,---,X,---,STW,DS,---,X,---,X,X,---,PS,---,COA,DSD
THU,CSSE-2,---,COA,---,DS,DSD,---,OOPJ,---,PS,X,---,X,---,X,X
,,,,,,,,,,,,,,,,
